epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10659.2,0.9112,0.93275,1.14712,1.15874,0.87698,0.80489,0.87656,0.70419,0.74299,0.70075,0.65014,0.1983,0.74659,0.99763,0.7229,0.99036,0.000614,0.000614,0.000614
44,10912.7,0.90836,0.93754,1.1441,1.15866,0.87838,0.81261,0.87635,0.70366,0.75746,0.69044,0.64713,0.19965,0.74337,0.99574,0.71574,0.98793,0.000581,0.000581,0.000581
45,11159.6,0.89862,0.93996,1.12847,1.15277,0.87255,0.80142,0.87738,0.70765,0.74946,0.69049,0.64976,0.19888,0.74665,1.00018,0.70992,0.98834,0.000548,0.000548,0.000548
46,11412.3,0.89751,0.92155,1.11994,1.15535,0.88275,0.80458,0.87585,0.706,0.74677,0.69996,0.65182,0.20073,0.74125,0.99535,0.70178,0.98879,0.000515,0.000515,0.000515
47,11656.1,0.88948,0.91964,1.11206,1.14825,0.8934,0.79945,0.87822,0.71243,0.76387,0.68298,0.65008,0.20058,0.73332,0.99466,0.69258,0.98174,0.000482,0.000482,0.000482
48,11908.5,0.88891,0.9285,1.11571,1.14793,0.88488,0.81011,0.882,0.71345,0.75844,0.69562,0.65531,0.20413,0.73416,0.98907,0.69617,0.98348,0.000449,0.000449,0.000449
49,12157.1,0.88881,0.93125,1.10422,1.14349,0.87366,0.81287,0.88342,0.7156,0.75306,0.69949,0.65984,0.20644,0.72686,0.98846,0.68481,0.97941,0.000416,0.000416,0.000416
50,12412.9,0.88507,0.91353,1.1022,1.14303,0.90035,0.79902,0.885,0.71681,0.77384,0.68456,0.66109,0.20579,0.72999,0.98851,0.6883,0.97957,0.000383,0.000383,0.000383
51,12648.4,0.79992,0.97874,0.72099,1.13772,0.89482,0.80063,0.88365,0.72294,0.77795,0.69483,0.66905,0.20743,0.70806,0.99113,0.6716,0.96535,0.00035,0.00035,0.00035
52,12877.7,0.78356,0.9674,0.68329,1.12462,0.89971,0.80813,0.89031,0.72806,0.76842,0.70477,0.66677,0.20906,0.6979,0.98674,0.64849,0.95822,0.000317,0.000317,0.000317
53,13111.1,0.77617,0.95996,0.67285,1.12041,0.89595,0.81682,0.89139,0.73111,0.77661,0.70865,0.67166,0.20956,0.68876,0.987,0.64389,0.95197,0.000284,0.000284,0.000284
54,13343.4,0.75748,0.95425,0.65699,1.10413,0.89693,0.82274,0.89525,0.73581,0.78114,0.71101,0.6764,0.21537,0.68454,0.98432,0.63364,0.94934,0.000251,0.000251,0.000251
55,13572.3,0.76275,0.94818,0.65049,1.11285,0.89016,0.82547,0.89226,0.73177,0.76809,0.71536,0.66843,0.21378,0.68383,0.97784,0.63298,0.95126,0.000218,0.000218,0.000218
56,13800.6,0.74268,0.94671,0.63442,1.09371,0.89963,0.81761,0.89437,0.73255,0.7811,0.70904,0.67613,0.21454,0.68517,0.98105,0.62763,0.94879,0.000185,0.000185,0.000185
57,14028.6,0.7427,0.94962,0.62466,1.09268,0.89393,0.82708,0.89486,0.73347,0.7808,0.70707,0.67524,0.21447,0.67891,0.97881,0.6248,0.94321,0.000152,0.000152,0.000152
58,14258.2,0.73528,0.93974,0.61908,1.09346,0.89278,0.83221,0.89425,0.73549,0.77482,0.7213,0.67933,0.21625,0.67511,0.977,0.62058,0.94056,0.000119,0.000119,0.000119
59,14488.7,0.73066,0.93539,0.60982,1.08866,0.89338,0.83221,0.89581,0.73798,0.76977,0.71806,0.67725,0.21607,0.67583,0.97813,0.6134,0.94119,0.000086,0.000086,0.000086
60,14734.2,0.71775,0.93831,0.60074,1.07902,0.90605,0.82619,0.89737,0.74119,0.77731,0.72167,0.68357,0.21805,0.67116,0.97833,0.60915,0.93822,0.000053,0.000053,0.000053
